0	Establishments=0.2314791786320989, Employees=0.12169283535013309, Q1 Payroll=0.08577435695522606, Annual Payroll=0.0971975702619704
11	Establishments=0.027635264481670745, Employees=0.11755172197512624, Q1 Payroll=0.3158731380862667, Annual Payroll=0.21631614299023885
21	Establishments=0.22826025759014015, Employees=0.24382974841643862, Q1 Payroll=0.20376843605584022, Annual Payroll=0.20162564370532202
22	Establishments=0.18200919035823596, Employees=0.1957722856784053, Q1 Payroll=0.14648552358615063, Annual Payroll=0.1289307563036066
23	Establishments=0.22661577034502542, Employees=0.11364961853091478, Q1 Payroll=0.11081462682672157, Annual Payroll=0.1084564071071189
31-33	Establishments=-0.050052520438700863, Employees=-0.15944505448993426, Q1 Payroll=-0.03420349948010117, Annual Payroll=-0.06354671122188392
42	Establishments=0.27939299966645786, Employees=0.04300856833296247, Q1 Payroll=0.10655227562415344, Annual Payroll=0.12100711359509242
44-45	Establishments=0.14459873971530113, Employees=0.14755203875982448, Q1 Payroll=0.09266576914942906, Annual Payroll=0.10796818005495498
48-49	Establishments=0.1252583999888158, Employees=0.121941940024849, Q1 Payroll=0.14956197839911506, Annual Payroll=0.16085747921563415
51	Establishments=0.18188910927479043, Employees=0.17532158717928054, Q1 Payroll=0.10166946646509786, Annual Payroll=0.08256642019122495
52	Establishments=0.3095627678372729, Employees=0.053168370646430714, Q1 Payroll=0.010707114167702519, Annual Payroll=0.021845818450377547
53	Establishments=0.1501872260201986, Employees=0.12835168346635112, Q1 Payroll=0.07727423463033617, Annual Payroll=0.0855911807489853
54	Establishments=0.22403535648109643, Employees=0.04719933392141102, Q1 Payroll=0.08479307005197187, Annual Payroll=0.08200145513788867
55	Establishments=0.07256734641236105, Employees=-0.027251743438316794, Q1 Payroll=0.08519861469770826, Annual Payroll=0.08489044439935943
56	Establishments=0.19032980445407266, Employees=0.08241773323048879, Q1 Payroll=0.04582410648229171, Annual Payroll=0.06778021076754985
61	Establishments=0.19721678181367808, Employees=0.1102843542799703, Q1 Payroll=0.07156354341369735, Annual Payroll=0.09313374533342862
62	Establishments=0.038250829565428565, Employees=0.10933694321540448, Q1 Payroll=0.07021180687897809, Annual Payroll=0.08459135846718548
71	Establishments=0.1637262253145644, Employees=-0.05393515141905654, Q1 Payroll=0.04012298548953739, Annual Payroll=0.0341592212950383
72	Establishments=0.20768357445613364, Employees=0.0986812294212453, Q1 Payroll=0.06078343355971259, Annual Payroll=0.07599584723314019
81	Establishments=0.18123192639943106, Employees=0.17659199952407642, Q1 Payroll=0.08412868440336173, Annual Payroll=0.08409606750636912
99	Establishments=-0.13194935523701032, Employees=0.32357285058679275, Q1 Payroll=0.2368041949282456, Annual Payroll=0.2337903592577354
